id,date_created,label,meta_info,people_id,type_sensor,x,y,z
388,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1071,-3781,6354
389,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1056,-3744,6317
390,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1057,-3784,6313
391,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1092,-3759,6337
392,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1094,-3765,6345
393,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1073,-3668,6320
394,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1038,-3529,6358
395,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1066,-3320,6369
396,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1084,-3133,6378
397,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1109,-2914,6442
398,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1200,-2732,6417
399,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1915,-1906,6414
400,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1967,-1862,6408
401,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2009,-1835,6431
402,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2019,-1844,6421
403,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2082,-1791,6432
404,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2136,-1813,6425
405,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2179,-1772,6409
406,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2231,-1760,6381
407,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2274,-1756,6413
408,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2348,-1760,6412
409,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2394,-1749,6311
410,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2459,-1749,6351
411,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2458,-1695,6295
412,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2534,-1718,6359
413,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2529,-1719,6286
414,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2570,-1717,6313
415,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2644,-1715,6285
416,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2646,-1717,6296
417,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2668,-1708,6219
418,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2685,-1701,6203
419,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2723,-1687,6202
420,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2717,-1663,6249
421,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2780,-1694,6260
422,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2796,-1664,6225
423,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2790,-1674,6194
424,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2842,-1667,6193
425,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2884,-1655,6154
426,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2878,-1641,6202
427,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2865,-1643,6215
428,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2846,-1628,6254
429,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2615,-1636,6235
430,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2617,-1647,6250
431,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2589,-1649,6238
432,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2644,-1620,6234
433,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2599,-1656,6203
434,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2618,-1621,6242
435,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2572,-1621,6211
436,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2579,-1611,6214
437,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2590,-1583,6246
438,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2520,-1573,6219
439,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2477,-1567,6202
440,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2472,-1560,6234
441,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2424,-1584,6240
442,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2389,-1580,6234
443,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2363,-1631,6237
444,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2364,-1609,6241
445,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2363,-1611,6250
446,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2382,-1566,6211
447,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2383,-1603,6260
448,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2406,-1572,6239
449,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2373,-1538,6258
450,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,2400,-1572,6235
